"recipient_id","iteration","question_id","question","answer_type","definition_1","definition_2","definition_3","definition_4","definition_5","pre_answer","post_answer"
68,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
33,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
63,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
103,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
14,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
46,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
66,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
31,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,3
38,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
2,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
85,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
48,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
82,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",1,3
58,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
40,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
41,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
72,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
73,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
6,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
47,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
28,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
51,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
51,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
49,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
26,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
28,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
57,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
4,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,3
72,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
31,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
87,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
96,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
84,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,4
47,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
88,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,5
85,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,5
83,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
54,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
21,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
48,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
82,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",1,3
45,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
30,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
34,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,5
67,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,3
43,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
65,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
25,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
106,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
44,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
89,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,5
24,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
20,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
15,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",5,4
53,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
66,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
32,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,3
14,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
40,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
41,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
60,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
81,"Fall 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
55,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,2
5,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",2,2
75,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
71,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
64,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
86,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
74,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
52,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
11,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
90,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,2
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,2
35,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
61,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
108,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
37,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",5,5
23,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,5
1,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,3
103,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
78,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
68,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
46,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
33,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
38,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
2,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,4
63,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
58,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
36,"All","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
73,"Spring 2022","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",3,3
6,"Spring 2023","prepost11","How well does the public understand your science when you communicate it to them?","Scale","They do not understand the science at all.",NULL,NULL,NULL,"They understand the science nearly perfectly.",4,4
37,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",1,1
32,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
103,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,3
85,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,3
83,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
34,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,1
65,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
66,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",1,2
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,3
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,3
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,5
5,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
52,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,2
90,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,2
51,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,2
108,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
1,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
46,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
63,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
58,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,1
4,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,3
31,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
88,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,2
47,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,4
84,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,3
96,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,3
72,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
28,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,2
26,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,3
6,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",4,2
73,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,4
49,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
2,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
38,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,4
33,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
68,"Spring 2022","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
78,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",2,4
23,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,2
35,"Spring 2023","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",3,3
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",5,5
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",5,3
36,"All","prepost12","If you were to list all the students/staff in your department from the worst to the best in science communication, where would you place yourself? ","Scale","One of the best.",NULL,NULL,NULL,"On of the worst.",5,3
