"recipient_id","iteration","question_id","question","definition_1","answer"
73,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
73,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
60,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
60,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
60,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
60,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
60,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
66,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
66,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
66,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
66,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
66,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
49,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
49,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
49,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
49,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
49,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
38,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
38,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
38,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
38,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
38,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
54,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
54,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
54,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
54,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
54,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
53,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
53,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
53,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
53,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
53,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
55,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
55,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
55,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
55,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
55,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
45,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
45,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
45,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
45,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
45,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
90,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
90,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
90,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
90,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
90,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
65,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
65,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
65,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
65,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
65,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
87,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
87,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
87,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
87,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",NULL
87,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
43,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
43,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
43,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
43,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
43,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
62,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
62,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
62,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
62,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
62,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
76,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
76,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
76,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
76,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
76,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
96,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
96,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
96,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
96,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
96,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
103,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
103,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
103,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",NULL
103,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
103,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
83,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
83,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
83,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
83,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
83,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
27,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
27,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
27,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
27,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
27,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
85,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
85,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
85,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
85,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
85,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
30,"Fall 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
30,"Fall 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
30,"Fall 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
30,"Fall 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",NULL
30,"Fall 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
81,"Fall 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
81,"Fall 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
81,"Fall 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
81,"Fall 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",NULL
81,"Fall 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
82,"Fall 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
