"recipient_id","question_id","question","answer_type","definition_1","definition_2","definition_3","definition_4","definition_5","definition_6","definition_7","answer"
32,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
44,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
73,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
60,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
66,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",2
49,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
38,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
54,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
53,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
55,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
45,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
90,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
65,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
87,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
43,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
62,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL
76,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",NULL
96,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
103,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
83,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
27,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
85,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
30,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
81,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
82,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
20,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
18,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
15,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
93,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
25,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
36,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
41,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
21,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
14,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
67,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
106,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
86,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
35,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
108,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
72,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
52,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
46,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
88,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
75,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
51,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
4,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
36,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",2
11,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
64,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
28,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
6,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
37,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
34,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
84,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
23,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
78,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
2,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
33,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
89,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
63,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
